wavelength_nm,absorption_1_per_cm_red_sebum
900,0.9782507840197716
905,0.9830364414633032
910,0.9878250223245278
915,1.002054951185012
920,0.9974928653561984
925,1.0158305798869631
930,1.0044235040458176
935,0.943290349515795
940,0.8964637802068438
945,0.8469317506628969
950,0.8076835326737022
955,0.7679596830554579
960,0.7443203464520161
965,0.7274724063728778
970,0.7167848427634221
975,0.7167848427634221
980,0.7167848427634221
985,0.7115183242913579
990,0.7100616276927019
995,0.7046225023831724
1000,0.690267991818903
1005,0.690267991818903
1010,0.6837934964214557
1015,0.6837934964214557
1020,0.6837934964214557
1025,0.6837934964214557
1030,0.6837934964214557
1035,0.6773797297426329
1040,0.655614768285851
1045,0.6462020765115605
1050,0.628216480885686
1055,0.610677237898852
1060,0.610677237898852
1065,0.5820258207988895
1070,0.5716923048521041
1075,0.5658873455242839
1080,0.5557558440256467
1085,0.5402636270372079
1090,0.5351961251276327
1095,0.5301761547828685
1100,0.5268608983755387
1105,0.5057738179850367
1110,0.5057738179850367
1115,0.5105627349224331
1120,0.5325313638060971
1125,0.5466700904284066
1130,0.5842606115247232
1135,0.6319199944702315
1140,0.7263506070144523
1145,0.7826794707759717
1150,1.0851022611875834
1155,1.1101042726239372
1160,1.1864539352439305
1165,1.3225704854530442
1170,1.3225704854530442
1175,1.871491834186236
1180,1.926894556132179
1185,2.2631153215374424
1190,2.486762898599909
1195,2.4634378492968065
1200,2.440331581577303
1205,2.223742181725904
1210,1.803335304510943
1215,1.517027010437398
1220,1.072926710090605
1225,0.9158003782225016
1230,0.8654544232645088
1235,0.6964460038784235
1240,0.6076650392907558
1245,0.5825696900592467
1250,0.5562373129033953
1255,0.4916748969938732
1260,0.4907525459953168
1265,0.4615217669367406
1270,0.4516927402571996
1275,0.4299211071370908
1280,0.4168052546704714
1285,0.4042219779588393
1290,0.3962688421658283
1295,0.3776421757650672
1300,0.3705910718604985
1305,0.3540360484187678
1310,0.3535339332694338
1315,0.3568813675983263
1320,0.3650489910522659
1325,0.3705910718604985
1330,0.4088847541743621
1335,0.4657660602869989
1340,0.6219330372526388
1345,0.831381399217084
1350,0.9593043960688644
1355,1.0750939771813224
1360,1.3922772727889938
1365,1.5023304050509685
1370,1.5589620175594647
1375,1.4809215742564674
1380,1.4670309983784815
1385,1.4396394921733462
1390,1.5297433966286171
1395,1.58190881499746
1400,1.56707101074857
1405,1.4645082791555522
1410,1.4437288580337293
1415,1.4203667416889292
1420,1.3673984231799567
1425,1.1756380317805353
1430,1.0977965790923687
1435,0.9282880129255218
1440,0.8987011132645872
1445,0.862883821841481
1450,0.7856438934795758
1455,0.7325203578910753
1460,0.7176897592700807
1465,0.7100616276927019
1470,0.658497132520212
1475,0.6257334981176389
1480,0.6164594323578432
1485,0.610677237898852
1490,0.610677237898852
1495,0.610677237898852
1500,0.610677237898852
1505,0.610677237898852
1510,0.6104863059220468
1515,0.5782336791250715
1520,0.560667204099814
1525,0.5557558440256467
1530,0.5562820611764504
1535,0.5642937466182686
1540,0.5670449842824041
1545,0.5880857483381293
1550,0.5936540353880154
1555,0.6049492785946923
1560,0.617626820985668
1565,0.6505870453864208
1570,0.6599519604632647
1575,0.6806016528576594
1580,0.7118544850448938
1585,0.7625664806656753
1590,0.7773254201990087
1595,0.8277850738323649
1600,0.8987011132645872
1605,0.905934058319154
1610,1.0485876900903517
1615,1.0548540148296242
1620,1.101776072090307
1625,1.2607105429555645
1630,1.3759120016693769
1635,1.7815895688583292
1640,1.8826346859446248
1645,2.0075994670888684
1650,3.592741160881092
1655,4.177766927835636
1660,4.336184735373421
1665,6.202062757771229
1670,7.604417903461379
1675,8.308236827503794
1680,9.93737061205681
1685,9.93737061205681
1690,9.93737061205681
1695,7.989732842761732
1700,6.626472516998318
